Status,Store code,Business name,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Sub-locality,Locality,Administrative area,Country / Region,Postal code,Primary phone,Additional phones,Website,Primary category,Additional categories,Sunday hours,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Special hours,From the business,Opening date,Labels,AdWords location extensions phone,Accessibility: Assisted listening devices (has_assisted_listening_devices),Accessibility: Assistive hearing loop (has_hearing_loop),Accessibility: Auracast broadcast audio (has_auracast_broadcast_audio),Accessibility: Wheelchair accessible entrance (has_wheelchair_accessible_entrance),Accessibility: Wheelchair accessible parking lot (has_wheelchair_accessible_parking),Accessibility: Wheelchair accessible restroom (has_wheelchair_accessible_restroom),Accessibility: Wheelchair accessible seating (has_wheelchair_accessible_seating),Amenities: Gender-neutral restroom (has_restroom_unisex),Children: Discounts for kids (has_discounts_for_kids),Children: Family discount (has_discounts_for_families),Children: Has changing table(s) (has_changing_tables),Children: Nursing room (has_lactation_space),Crowd: LGBTQ+ friendly (welcomes_lgbtq),Crowd: Transgender safespace (is_transgender_safespace),From the business: Identifies as Asian-owned (is_owned_by_asian),From the business: Identifies as Black-owned (is_black_owned),From the business: Identifies as Indigenous-owned (is_owned_by_indigenous),From the business: Identifies as LGBTQ+ owned (is_owned_by_lgbtq),From the business: Identifies as Latino-owned (is_owned_by_latinx),From the business: Identifies as disabled-owned (is_owned_by_disability),From the business: Identifies as veteran-owned (is_owned_by_veterans),From the business: Identifies as women-owned (is_owned_by_women),Parking: Free parking garage (has_parking_garage_free),Parking: Free parking lot (has_parking_lot_free),Parking: Free street parking (has_parking_street_free),Parking: On-site parking (has_onsite_parking),Parking: Paid parking garage (has_parking_garage_paid),Parking: Paid parking lot (has_parking_lot_paid),Parking: Paid street parking (has_parking_street_paid),Payments: Cash-only (requires_cash_only),Payments: Checks (pay_check),Payments: Credit cards (pay_credit_card),Payments: Credit cards (pay_credit_card_types_accepted): American Express (american_express),Payments: Credit cards (pay_credit_card_types_accepted): China Union Pay (china_union_pay),Payments: Credit cards (pay_credit_card_types_accepted): Diners Club (diners_club),Payments: Credit cards (pay_credit_card_types_accepted): Discover (discover),Payments: Credit cards (pay_credit_card_types_accepted): JCB (jcb),Payments: Credit cards (pay_credit_card_types_accepted): MasterCard (mastercard),Payments: Credit cards (pay_credit_card_types_accepted): VISA (visa),Payments: Debit cards (pay_debit_card),Payments: NFC mobile payments (pay_mobile_nfc),Place page URLs: Appointment links (url_appointment),Place page URLs: Facebook (url_facebook),Place page URLs: Instagram (url_instagram),Place page URLs: Linkedin (url_linkedin),Place page URLs: Pinterest (url_pinterest),Place page URLs: Texting number (url_text_messaging),Place page URLs: Tiktok (url_tiktok),Place page URLs: WhatsApp (url_whatsapp),Place page URLs: X (Twitter) (url_twitter),Place page URLs: Youtube (url_youtube),Place page attributes: Primary chat (preferred_messaging_service),Planning: Appointment required (requires_appointments),Service options: Online classes (offers_online_classes),Service options: Onsite services (has_onsite_services)
Published,Mesa,Aqua-Tots Swim School Mesa,1122 S. Greenfield Rd.,,,,,,Mesa,AZ,US,85206,(480) 649-8687,,https://www.aqua-tots.com/mesa?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school,Indoor swimming pool",,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-13:00,"2026-07-04: x, 2026-09-07: x","Aqua-Tots Swim School in Mesa provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and 'safety first, fun every second' approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,+1 480-649-8687,,,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,No,,Yes,,,,,,Yes,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Mesa,https://www.facebook.com/AquaTotsMesa/,https://www.instagram.com/aquatots_mesaaz/,,https://www.pinterest.com/aquatotsswimschool/,,https://www.tiktok.com/@aquatotsmesa,,,https://www.youtube.com/@aquatots,,,No,
Published,299,Aqua-Tots Swim School Rama3,Bang Phong Phang Sub-district,,,,,Bang Phong Phang,Yan Nawa,Bangkok,TH,10120,,,,Swimming school,"Swimming instructor,Swim club,Swimming pool,Swimwear store,Swimming facility,Baby swimming school,Public swimming pool",,,,,,,,,"Aqua-Tots Swim School in Yan Nawa provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and “safety first, fun every second” approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy, indoor pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we’ve been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,,,,,,,,Yes,Yes,Yes,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,No,,Yes,,,,,,Yes,,Yes,,,https://www.facebook.com/AquaTotsRama3/,https://www.instagram.com/AquaTotsRama3/,,,[NOT APPLICABLE],,[NOT APPLICABLE],,,,,No,Yes
Published,Mansfield,Aqua-Tots Swim School Mansfield,1551 U.S. 287 Frontage Road,,,,,,Mansfield,TX,US,76063,(817) 953-8687,,https://www.aqua-tots.com/mansfield/?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school,Indoor swimming pool",,09:00-19:30,09:30-19:30,09:30-19:30,09:00-19:30,09:00-19:30,09:00-13:30,2026-09-07: x,"Aqua-Tots Swim School in Mansfield provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and 'safety first, fun every second' approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,+1 817-953-8687,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,,,Yes,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Mansfield,https://www.facebook.com/AquaTotsMansfield/,https://www.instagram.com/aquatots_mansfield/,,https://www.pinterest.com/aquatotsswimschool/,,https://www.tiktok.com/@aquatots_mansfield,,,https://www.youtube.com/@aquatots,,,No,Yes
Published,Sterling,Aqua-Tots Swim School Sterling,45591 Dulles Eastern Plaza,,,,,,Sterling,VA,US,20166,(571) 520-2201,,https://www.aqua-tots.com/sterling/?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO&utm_source=google&utm_medium=organic&utm_campaign=local-seo,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school,Public swimming pool",09:00-13:00,"09:00-12:00, 16:00-19:30","09:00-13:30, 16:00-19:30",16:00-19:30,"09:00-13:30, 16:00-19:30",,09:00-17:00,"2026-07-02: x, 2026-07-03: x, 2026-07-04: x, 2026-07-05: x","Aqua-Tots Swim School in Sterling provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and ""safety first, fun every second"" approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,No,,Yes,,,,,,,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Sterling,https://www.facebook.com/AquaTotsSterling,https://www.instagram.com/aquatotssterling/,,https://www.pinterest.com/aquatotsswimschool/,,https://www.tiktok.com/@aquatotssterling,,,https://www.youtube.com/@aquatots,,,No,
Published,289,Aqua-Tots Swim School Forsyth County,850 Peachtree Parkway,,,,,,Cumming,GA,US,30041,(470) 239-5948,,https://www.aqua-tots.com/forsyth-county?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school,Public swimming pool",10:00-14:00,09:00-20:00,09:00-20:00,12:00-20:00,09:00-20:00,09:00-20:00,08:00-17:00,2026-09-07: x,"Aqua-Tots Swim School in Cumming provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and ""safety first, fun every second"" approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,Yes,,,,No,,Yes,,,,,,,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Forsyth%2520County,https://www.facebook.com/AquaTotsSwimSchools/,https://www.instagram.com/aquatotsofficial/,,https://www.pinterest.com/aquatotsswimschool/,,,,,https://www.youtube.com/@aquatots,,,No,Yes
Published,Portage,Aqua-Tots Swim School Portage,7113 S Westnedge Ave.,,,,,,Portage,MI,US,49002,(269) 230-4040,,https://www.aqua-tots.com/portage/?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school",09:00-14:00,10:00-20:00,10:00-20:00,10:00-14:00,10:00-20:00,10:00-20:00,09:00-15:00,"2025-11-27: x, 2025-12-24: x, 2025-12-25: x, 2025-12-26: 10:00-14:00, 2025-12-27: 10:00-14:00, 2025-12-28: 10:00-14:00, 2025-12-29: 10:00-14:00, 2025-12-30: 10:00-14:00, 2025-12-31: x, 2026-01-01: x","Aqua-Tots Swim School in Portage provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and 'safety first, fun every second' approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,No,,Yes,,,,,,Yes,,Yes,Yes,https://www.aqua-tots.com/portage/sign-up/,https://www.facebook.com/AquaTotsPortage,https://www.instagram.com/aquatotswestmi/,,,sms:+12692304040,https://www.tiktok.com/@aquatotswestmi,,,https://www.youtube.com/@AquaTotsWestMi,Text message (text_messaging),,No,Yes
Published,Beavercreek,Aqua-Tots Swim School Beavercreek,2451 Lakeview Drive,,,,,,Beavercreek,OH,US,45431,(937) 200-1120,,https://www.aqua-tots.com/beavercreek?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school",08:30-15:30,09:00-20:15,09:00-20:00,09:00-20:00,09:00-20:00,,08:00-15:30,2026-09-07: x,"Aqua-Tots Swim School in Beavercreek provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and 'safety first, fun every second' approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,(937) 200-1120,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,No,Yes,,Yes,,,,,,No,,Yes,,,,,,Yes,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Beavercreek,https://www.facebook.com/AquaTotsBeavercreek/,https://www.instagram.com/aquatotsbeavercreek/,,https://www.pinterest.com/aquatotsswimschool/,,https://www.tiktok.com/@aquatotsbeavercreek,,,https://www.youtube.com/@aquatots,,Yes,No,Yes
Published,228,Aqua-Tots Swim School Dearborn,24365 Michigan Ave.,,,,,,Dearborn,MI,US,48124,(313) 915-5655,,,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school,Indoor swimming pool",09:00-16:00,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,09:00-16:00,"2025-11-27: x, 2025-12-24: x, 2025-12-25: x, 2025-12-26: 10:00-14:00, 2025-12-27: 10:00-14:00, 2025-12-28: 10:00-14:00, 2025-12-29: 10:00-14:00, 2025-12-30: 10:00-14:00, 2025-12-31: x, 2026-01-01: x","Aqua-Tots Swim School in Dearborn provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and 'safety first, fun every second' approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,,,Yes,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Dearborn,https://www.facebook.com/AquaTotsDearborn,https://www.instagram.com/aquatotsmi/,,https://www.pinterest.com/aquatotsswimschool/,,https://www.tiktok.com/@aquatotsmi,,,https://www.youtube.com/channel/UCvKVHB54fl4jpx2Y4M9t1ZA,,,No,Yes
Published,Dubai,Aqua-Tots Swim School Dubai,12th Street,"Al Quoz Industrial Area 2, Ind. 2nd - Unit 29-30",,,,,,Dubai,AE,,058 516 3939,,https://www.aqua-tots.com/dubai/?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor,Baby swimming school,Public swimming pool",10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,,10:00-20:00,10:00-20:00,"2026-03-19: x, 2026-03-20: x, 2026-03-21: x","Aqua-Tots Swim School in Al Quoz, Dubai, provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and ""safety first, fun every second"" approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots",2025-12-01,,,,,,Yes,Yes,,,,,Yes,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],Yes,,Yes,,,,,,No,,Yes,,,,,,Yes,Yes,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Al%2520Quoz,https://www.facebook.com/AquaTotsDubai,https://www.instagram.com/AquaTotsDubai,,https://www.pinterest.com/aquatotsswimschool/,,,,,https://www.youtube.com/@aquatots,WhatsApp (whatsapp),,,
Published,Las Vegas,Aqua-Tots Swim School Las Vegas,7230 West Lake Mead Blvd,,,,,,Las Vegas,NV,US,89128,(702) 840-1032,,https://www.aqua-tots.com/las-vegas?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,Swimming school,"Swim club,Swimming pool,Swimwear store,Swimming facility,Swimming instructor",08:00-14:30,,08:30-19:30,14:00-19:30,08:30-19:30,08:30-19:00,08:00-14:00,,"Aqua-Tots Swim School in Las Vegas provides year-round swimming lessons for kids of all ages, including swim lessons for babies and toddlers. Our world-renowned swimming instruction and 'safety first, fun every second' approach features certified swim instructors, a family-friendly environment, and state-of-the-art facility with a cozy 90° pool. Aqua-Tots serves more than 150 communities worldwide and is trusted by parents to teach five million swim lessons every year. Since 1991, we've been committed to a legacy of safety; please visit our website to learn more about swim lessons for children at Aqua-Tots.",,aqua-tots,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,,,Yes,,Yes,Yes,https://www.aqua-tots.com/sign-up/?utm_source=GBP&utm_medium=Appointment&utm_campaign=Aqua-Tots%2520Swim%2520School%2520Las%2520Vegas,https://www.facebook.com/AquaTotsLasVegas/,https://www.instagram.com/aquatotslasvegas/,,https://www.pinterest.com/aquatotsswimschool/,,https://www.tiktok.com/@aquatotslasvegas,,,https://www.youtube.com/@aquatots,,,No,Yes
